2021-30-05 12:47:14   INFO [RegistrationTests:242 ] : Open registration url - http://automationpractice.com
2021-30-05 12:47:14   INFO [RegistrationTests:55  ] : Enter email in registration email input form
2021-30-05 12:47:24  ERROR [RegistrationTests:64  ] : Button 'Create an account' can`t click
2021-30-05 12:47:24   INFO [RegistrationTests:69  ] : Button 'Create an account' click
2021-30-05 12:47:26   INFO [RegistrationTests:81  ] : gender checkbox click
2021-30-05 12:47:26   INFO [RegistrationTests:98  ] : Click dropmenu days
2021-30-05 12:47:26   INFO [RegistrationTests:105 ] : Click dropmenu months
2021-30-05 12:47:26   INFO [RegistrationTests:113 ] : Click dropmenu years
2021-30-05 12:47:27   INFO [RegistrationTests:121 ] : fill firstName inputForm
2021-30-05 12:47:27   INFO [RegistrationTests:130 ] : fill customer_lastname inputForm
2021-30-05 12:47:27   INFO [RegistrationTests:139 ] : fill password inputForm
2021-30-05 12:47:27   INFO [RegistrationTests:152 ] : fill firstname inputForm
2021-30-05 12:47:27   INFO [RegistrationTests:162 ] : fill lastname inputForm
2021-30-05 12:47:27   INFO [RegistrationTests:171 ] : fill address inputForm
2021-30-05 12:47:27   INFO [RegistrationTests:181 ] : fill city inputForm
2021-30-05 12:47:27   INFO [RegistrationTests:191 ] : Click dropmenu states
2021-30-05 12:47:27   INFO [RegistrationTests:199 ] : fill zipCode inputForm
2021-30-05 12:47:27   INFO [RegistrationTests:207 ] : fill phone_mobile inputForm
2021-30-05 12:47:27   INFO [RegistrationTests:216 ] : fill alias inputForm
2021-30-05 12:47:29   INFO [RegistrationTests:224 ] : Click submit button
2021-01-06 17:54:19   INFO [GoogleMainPage:74  ] : click googleApps Button
2021-01-06 17:54:20  ERROR [GoogleMainPage:85  ] : Can`t click search Button
2021-01-06 17:55:17   INFO [GoogleMainPage:76  ] : click googleApps Button
2021-01-06 18:05:23   INFO [GoogleMainPage:76  ] : click googleApps Button
2021-01-06 18:21:51   INFO [GoogleMainPage:76  ] : click googleApps Button
2021-01-06 18:22:38   INFO [GoogleMainPage:76  ] : click googleApps Button
2021-01-06 18:23:54   INFO [GoogleMainPage:76  ] : click googleApps Button
2021-01-06 18:29:39   INFO [GoogleMainPage:76  ] : click googleApps Button
2021-01-06 18:30:41   INFO [GoogleMainPage:76  ] : click googleApps Button
2021-01-06 18:37:37   INFO [GoogleMainPage:78  ] : click googleApps Button
2021-01-06 18:41:26   INFO [GoogleMainPage:84  ] : click googleApps Button
2021-01-06 18:42:55   INFO [GoogleMainPage:84  ] : click googleApps Button
2021-01-06 18:50:02   INFO [GoogleMainPage:84  ] : click googleApps Button
